title,artist_name,release,year,tag,caption_writing
Makin' Money,Handsome Devil,Love & Kisses From The Underground,2001,['rock'],"This high-energy track is a perfect blend of classic and modern rock, with driving guitar riffs and thunderous drums that are sure to get your heart pumping."
Womanbound,Danko Jones,I'm Alive and on Fire,2001,"['punk' 'blues rock' 'rock nroll' 'canadian' 'rock' 'alternative' 'metal'
 'blues' 'hard rock']","Get ready to headbang to the ultimate mix of blues rock, punk, rock n roll, alternative, blues, Canadian, metal, rock, and hard rock in this electrifying song that's sure to leave you craving for more!"
Make My Bed,Permanent Me,After The Room Clears,2007,"['earnest' 'mellow' 'indie rock' 'urgent' 'confident' 'exciting'
 'partying' 'witty' 'theatrical' 'coolncocky' 'bright' 'literate'
 'late night' 'passionate' 'rollicking' 'rousing' 'bravado' 'stylish'
 'quirky' 'energetic' 'alternative indie rock' 'acoustic' 'pop rock'
 'gritty' 'lively' 'gutsy' 'punk pop']","This alternative indie rock jam is a passionate and gutsy tribute to late night partying, with rollicking punk pop riffs and lively pop rock hooks that exude confidence and bravado, all brought to life with the band's signature witty and literate lyrics, enveloped in a gritty and mellow acoustic sound that's equal parts cool and cocky. The end result is an indie rock masterpiece that's both energetic and exciting, with an urgent and quirky theatrical edge that will leave you wanting more."
Sleeper 1972,Manchester Orchestra,I'm Like A Virgin Losing A Child,2006,"['exuberant' 'earnest' 'indie rock' 'confident' 'dramatic' 'beautiful'
 'self conscious' 'amiable good natured' 'passionate' 'carefree'
 'meandering' 'stylish' 'quirky' 'energetic' 'warm' 'thoughtful'
 'alternative indie rock' 'searching' 'indie pop' 'sad' 'pop rock'
 'lively' 'playful' 'indie']","This dynamic indie rock anthem is a meandering journey through self consciousness, passionately searching for meaning with an amiable good natured confidence and earnestness that lends a beautiful, quirky and warm quality to its dramatic verses and playful, stylish choruses in a blend of alternative indie rock, indie pop and pop rock that is both energetic and lively, yet thoughtful and sad, perfectly capturing the carefree exuberance of youth."
Paralyzed,The Cardigans,Paralyzed,1998,"['swedish pop rock' 'alternative singer songwriter' 'confident' 'brooding'
 'theatrical' 'alternative pop rock' 'acerbic' 'twee pop' 'rock'
 'effervescent' 'alternative' 'carefree' 'wistful' 'sophisticated'
 'electronic' 'autumnal' 'earthy' 'contemporary pop rock' 'stylish'
 'sensual' 'bittersweet' 'alternative indie rock' 'fun' 'female vocalists'
 'adult alternative pop rock' 'indie pop' 'ironic' 'pop rock'
 'ambient pop' 'cheerful' 'playful' 'precious' 'campy' 'sweet'
 'contemporary singer songwriter']","Experience an effervescent blend of adult alternative pop rock and alternative indie rock with a touch of electronic and sensual female vocals that exudes sophistication, confidence and irony while oscillating between brooding and cheerful, bittersweet and carefree, earthy and precious, all expertly crafted by a contemporary singer songwriter that seamlessly combines contemporary pop rock, alternative pop rock, indie pop, twee pop, and swedish pop rock with a playful touch of theatrics and stylish ambience, creating an autumnal soundscape that is both fun and wistful."
I Wish I Was Back In My Baby's Arms,Lena Horne,What Is This Thing Called Love,1995,['jazz' 'female vocalists'],Experience the sultry sounds of these talented female vocalists as they transport you to a bygone era of jazz with their smooth melodies and soulful harmonies.
Time,Flipsyde,We The People,2005,"['confident' 'rap rock' 'hardcore rap' 'revolutionary' 'confrontational'
 'hip hop' 'alternative' 'brash' 'rousing' 'rap' 'energetic' 'ambitious'
 'searching' 'pop rock' 'poignant']","This ambitiously confrontational rap rock song combines hardcore rap verses with poignant and searching pop rock choruses, resulting in an energetic and revolutionary anthem that confidently blends brash hip hop attitudes with alternative sensibilities, ultimately resulting in a rousing and unforgettable musical experience."
(Per)Version Of A truth,Mudvayne,The End Of All Things To Come,2002,"['cathartic' 'malevolent' 'intense' 'hedonistic' 'heavy metal' 'rousing'
 'alternative metal' 'raucous' 'fiery' 'angst ridden' 'ominous' 'metal'
 'pop rock']","This alternative metal and pop rock hybrid is an intense and cathartic anthem, with an ominous undertone that builds towards a rousing and heavy metal climax, evoking feelings of angst and unleashing a hedonistic and malevolent energy, all while maintaining a fiery and raucous tone that will leave you breathless."
Make Out Fall Out Make Up (A Chicken Lips Malfunction),Love Is All,Love Is All Mixed Up,2008,['indie'],This indie song embraces raw vulnerability and introspection through its intimate lyrics and stripped-down acoustic guitar.
Mr. Bojangles ( LP Version ),Jerry Jeff Walker,Happy Birthday Grandad,0,['mellow' 'classic rock'],"This classic rock tune takes a mellow approach to songwriting, delivering a smooth and easy listening experience to fans of the genre."
I Idolize You,Ike & Tina Turner,River Deep Mountain High,1961,['60s' 'soul'],This vintage-inspired soul song brings the groovy vibes of the 60s to life with its smooth vocals and retro instrumentation.
Jubileo,Fania All Stars,Fania All-Stars - Rhythm Machine,0,['jazz' 'latin'],"This upbeat and rhythmic track is a fusion of jazz and latin genres, incorporating smooth trumpet melodies and lively percussive beats."
Vuelta Al Infierno,El Último Ke Zierre,Ay De Mi!,2003,['spanish'],"Experience the passion and rhythm of Spain with the sultry, Spanish-inspired melody of this mesmerizing song."
Fat Fun,The Monochrome Set,Volume Contrast Brilliance,1983,['punk rock'],"This high-energy track is a classic example of punk rock, with fast-paced guitar riffs and a rebellious attitude."
Ronny,Shriekback,Cormorant,2005,"['alternative pop rock' 'alternative' 'alternative indie rock' 'pop rock'
 'alternative dance']","This song is an electrifying mix of alternative indie rock, pop rock, alternative dance, and alternative pop rock that's guaranteed to get you moving."
Bumble Bee,Memphis Minnie,Crazy Crying Blues,1930,"['confident' 'regional blues' 'pre war country blues' 'passionate'
 'acoustic blues' 'earthy' 'delta blues' 'blues' 'acoustic memphis blues']","This gritty and soulful acoustic Memphis blues ballad showcases a passionate and confident delivery that pays homage to the rich history of regional blues, transporting listeners to the earthy sounds of delta blues and pre-war country blues with its stripped-down instrumentation and raw, authentic bluesy vocals."
It Was You,The Pierces,Thirteen Tales Of Love And Revenge,2007,"['reflective' 'confident' 'eccentric' 'coolncocky' 'self conscious'
 'insular' 'literate' 'girls night out' 'pop' 'wry' 'alternative'
 'whimsical' 'freedom' 'quirky' 'empowering' 'energetic'
 'alternative folk' 'alternative indie rock' 'irreverent'
 'female vocalists' 'yearning' 'indie pop' 'pop rock' 'intimate' 'folk'
 'playful' 'indie']","Get ready for a girls night out anthem that's both empowering and reflective - this alternative indie rock gem features self-conscious and confident female vocalists, blending elements of alternative folk, pop rock, and indie pop for a whimsical and quirky sound that's at once irreverent and literate, with wry and insular lyrics that explore yearning, freedom, and playful introspection, all wrapped up in an energetic and cool-and-cocky package that's as intimate as it is eccentric."
Shy Kid,Krokus,Metal Rendez-Vous,1980,"['confident' 'hostile' 'aggressive' 'rock nroll' 'theatrical' 'coolncocky'
 'guys night out' 'rowdy' 'heavy metal' 'outrageous' 'brash'
 'rambunctious' 'sleazy' 'rousing' 'raucous' 'energetic' 'manic'
 'motivation' 'pop rock' 'hard rock' 'drinking' 'visceral']","This pop-rock anthem is an outrageous, rowdy, and aggressive ode to a guys night out, with just the right amount of sleaze and hostility to make it perfect for a night of heavy drinking and raucous behavior. The manic and energetic vocals are dripping with confidence and cool'n'cocky swagger, while the hard-rock guitars and heavy metal riffage provide a visceral, rousing backdrop that will surely get your blood pumping and your fists flying. With its brash, visceral energy and theatrical flair, this is the ultimate soundtrack for a wild and rambunctious night on the town!"
Spellbound Woman,Julian Sas Band,For the Lost and Found,0,['blues rock' 'blues'],This blues rock anthem with its heavy guitar riffs and gritty vocals is the perfect representation of the genre's unique blend of blues and rock influences.
Beats To The Rhyme,RUN-DMC,The Greatest Hits,1988,['hip hop'],"Get ready to bust a move with this hot, hip hop track that's guaranteed to make you feel the beat!"
TKO,Le Tigre,TKO,2004,"['exuberant' 'indie rock' 'indie electronic' 'new wave post punk revival'
 'girls night out' 'alternative' 'rambunctious' 'rousing' 'electronic'
 'quirky' 'empowering' 'fiery' 'alternative indie rock' 'irreverent'
 'female vocalists' 'pop rock' 'playful' 'indie']","This empowering, exuberant pop rock track by female vocalists infuses a quirky blend of indie rock, new wave post punk revival, and indie electronic elements with a playful, irreverent attitude that's perfect for a fiery girls night out, all while delivering a rousing and ramunctious alternative indie rock performance."
Local Hero,Bruce Springsteen,Lucky Town,1992,"['heartland rock' 'earnest' 'urgent' 'laid back mellow' 'reflective'
 'dramatic' 'organic' 'intense' 'road trip' 'rock' 'literate' 'album rock'
 'passionate' 'rollicking' 'rousing' 'contemporary pop rock'
 'introspection' 'bittersweet' 'rocknroll' 'reflection' 'searching'
 'reminiscing' 'pop rock' 'poignant' 'intimate']","Get ready for an unforgettable road trip of poignant and searching emotions, expertly woven into a diverse range of pop rock, heartland rock, and contemporary pop rock from intense and passionate rollicking rocknroll to laid back mellow introspection; this album delivers a unique blend of dramatic, rousing, and literate tunes that effortlessly balance organic, intimate reflection with urgent reminiscing and bittersweet earnest."
Death Blooms,Mudvayne,L.D. 50,2000,"['cathartic' 'hostile' 'malevolent' 'aggressive' 'intense' 'hedonistic'
 'confrontational' 'heavy metal' 'rousing' 'alternative metal' 'raucous'
 'fiery' 'angst ridden' 'ominous' 'metal' 'international' 'pop rock'
 'bleak']","Get ready for an aggressive and confrontational anthem that infuses international flair with elements of alternative metal and pop rock, delivering an intense and cathartic listening experience that's both ominous and hostile, yet rousing and heavy enough to satisfy even the most die-hard metal head. With angst ridden lyrics, raucous guitar solos, and a hedonistic energy that's both malevolent and fiery, this song paints a bleak yet empowering picture of defiance in the face of adversity."
Down Yonder,Del Wood,The Happy Wanderer - 25 Nostalgic Hits,1988,['piano'],This hauntingly beautiful song is underscored by the gentle notes of a melancholy piano.
The Lunatics (Have Taken Over The Asylum),Fun Boy Three,Terry Hall - The Collection,1981,['alternative' '80s'],"An alternative track with an 80s flair, featuring pulsating synths and catchy hooks that will transport you back to the decade of big hair and neon lights."
Freitag,Rufus Zuphall,Weiss der Teufel,1970,['rock'],Get ready to rock out with this high-energy anthem that showcases the power of gritty guitar riffs and soaring vocals.
The Death Of Us,Laakso,Mother Am I Good Looking?,2007,"['swedish pop rock' 'indie rock' 'pop' 'swedish' 'alternative'
 'alternative indie rock' 'indie pop' 'pop rock' '00s' 'indie']","This high-energy track is a perfect blend of alternative indie rock and pop rock, with catchy hooks and driving guitars that draw equally from indie and alternative influences, creating an infectious indie pop sound that is unmistakably Swedish. With its pulsing rhythms, soaring vocals and shimmering production, it captures the essence of early-'00s Swedish pop rock while adding a fresh twist that appeals to modern indie rock fans."
Not Over Yet,Hardcore Masif,Not Over Yet / Gimme Some More,0,['hardcore'],This hardcore song will leave you in a state of pure adrenaline and intensity with its aggressive guitar riffs and unforgiving lyrics.
Closer To Love,The Grip Weeds,Giant On The Beach,0,"['power pop' 'hanging out' 'road trip' 'neo psychedelia' 'classic rock'
 'amiable good natured' 'whimsical' 'contemporary pop rock' 'quirky'
 'energetic' 'alternative indie rock' 'fun' 'psychedelic' 'garage rock'
 'metal' 'pop rock' 'glam rock' 'playful']","Get ready to hit the road with this energetic and playfully whimsical alternative indie rock anthem, blending elements of classic rock, power pop, and contemporary pop rock for a non-stop ride through fun, hanging out vibes and amiable good-natured camaraderie with a touch of glam, neo-psychedelia, metal, and garage rock."
In The Night  (LP Version),Professor Longhair,New Orleans Piano - Blues Originals_ Vol 2,0,['blues' 'new orleans'],This hauntingly beautiful blues song is reminiscent of the sultry sounds of old New Orleans.
One Step Closer (Album Version),Linkin Park,Hybrid Theory,2000,"['cathartic' 'urgent' 'reflective' 'rap rock' 'aggressive' 'somber'
 'intense' 'coolncocky' 'guys night out' 'rock' 'rowdy' 'confrontational'
 'heavy metal' 'alternative' 'nu metal' 'brash' 'post grunge' 'rousing'
 'alternative metal' 'stylish' 'exercise workout' 'empowering'
 'introspection' 'energetic' 'fiery' 'angst ridden' 'bittersweet' 'regret'
 'alternative rock' 'alternative indie rock' 'metal' 'pop rock'
 'anguished distraught' 'rap metal' 'freewheeling']","This aggressive and confrontational alternative indie rock anthem is a high-energy and empowering mix of alternative metal, rap rock, and pop rock that's guaranteed to get rowdy during a guys' night out, combining fiery and intense vocals with stylish guitar riffs and heavy metal undertones that are both cathartic and empowering with a sense of urgency and regret for a truly anguished and introspective experience, perfect for reflective exercise workouts or somber late nights."
Kaizers 115. Drøm,Kaizers Orchestra,Maskineri,2008,"['cathartic' 'indie rock' 'provocative' 'urgent' 'dramatic' 'intense'
 'rowdy' 'new wave post punk revival' 'menacing' 'euro rock'
 'the creative side' 'norwegian' 'late night' 'alternative' 'passionate'
 'meandering' 'rollicking' 'rousing' 'raucous' 'nihilistic' 'fiery'
 'alternative rock' 'alternative indie rock' 'ominous' 'maverick'
 'pop rock' 'atmospheric' 'lively' 'volatile']","Get ready to unleash your primal energy with this alternative indie rock track that embodies the maverick spirit and rowdy attitude of post punk revival, with pop rock melodies infused with intense, passionate vocals and rollicking guitar riffs that evoke a menacing, Norwegian atmosphere. This urgent and cathartic song is everything you need to let go of your inhibitions, as it takes you on a meandering yet dramatic journey that blends indie rock and euro rock, delivering a rousing sound that is both nihilistic and raucous. Provocative and volatile, this fiery anthem is perfect for late night listening, embracing the creative side of alternative music and showcasing the new wave post punk revival that defines the sound of today's alternative rock scene."
Curse of a Fallen Soul (Live0,Dropkick Murphys,Live On St. Patricks Day From Boston_ MA,0,"['punk' 'urgent' 'confident' 'aggressive' 'intense' 'alternative pop rock'
 'acerbic' 'rowdy' 'menacing' 'confrontational' 'punk revival'
 'nihilistic' 'tense anxious' 'fiery' 'cynical sarcastic'
 'alternative indie rock' 'rebellious' 'pop rock' 'harsh' 'fierce' 'angry'
 'visceral' 'bleak']","Channeling the spirit of punk revival, this alternative indie rock anthem is characterized by its rowdy, aggressive sound, intense and confident delivery, and acerbic, rebellious lyrics that drip with cynical sarcasm and nihilistic bleakness, creating a visceral and urgent sense of tension and anxious urgency that is both fiery and menacing."
Foreign Exchange Title Theme,The Foreign Exchange,Connected (Extended Edition),2004,['hip hop' 'new york' 'soul'],"This soulful hip hop track takes you on a journey through the streets of New York, with raw beats and heartfelt lyrics that capture the soul of the city."
My Love Is So Strong,Toots & The Maytals,The Collection,1979,['reggae'],This track is a fun and upbeat reggae tune that will transport you straight to the beaches of Jamaica.
Blank,A Balladeer,Panama,2006,"['dutch' 'indie rock' 'alternative pop rock' 'rock' 'pop' 'alternative'
 'alternative indie rock' 'pop rock' 'indie']","This Dutch band's upbeat and catchy sound blends elements of alternative indie rock, pop rock, indie, and alternative pop rock, resulting in a unique and refreshing take on modern rock and pop music."
Atomic City,Holly Johnson,Hollelujah,1989,['club dance' 'pop' 'electronic' 'house' '80s'],"Get ready to bust a move with this electrifying blend of house and pop music, infused with an 80s throwback vibe that will transport you straight to the club dance floor."
Undertow,Suzanne Vega,Suzanne Vega,1985,"['earnest' 'reflective' 'contemporary folk' 'rock' 'literate'
 'college rock' 'wistful' 'autumnal' 'restrained' 'introspection'
 'cerebral' 'gentle' 'bittersweet' 'alternative folk'
 'alternative indie rock' 'female vocalists' 'adult alternative pop rock'
 'sad' 'pop rock' 'poignant' 'plaintive' 'intimate' 'folk' 'detached']","Fall-inspired and emotionally charged, this album seamlessly blends adult alternative pop rock and alternative indie rock with poignant alternative folk and contemporary folk, all driven by earnest female vocalists whose introspection and gentle touch lend a wistful quality to the intimate and reflective messages conveyed through literate, bittersweet lyricism; a subdued mix of college rock, plaintive folk, restrained rock, and cerebral melancholy make this a beautifully sad collection of songs that are perfect for autumnal introspection."
In A Sentimental Mood,Tommy Flanagan,Complete Originals Recordings,0,['jazz'],"Get swept away in the rhythm and soul of this jazz-infused hit, featuring sultry vocals and smooth saxophone solos."
EL DIA QUE YO CAMBIE,Luz Casal,Con Otra Mirada,2002,"['latin pop' 'swinging' 'spanish' 'sentimental' 'dreamy'
 'female vocalists' 'pop rock' 'strong' 'latin']","This sentimental pop rock ballad is led by powerful female vocalists and features a strong Latin influence with a swinging rhythm, dreamy melodies, and touches of Spanish language that blend together perfectly to create a memorable Latin pop tune."
Options,Alain Caron,Le Band,1993,['crossover jazz' 'jazz' 'chillout' 'instrumental'],This tranquil and laid-back instrumental track is the perfect blend of chillout and jazz with a unique crossover jazz twist.
Primordial Annihilator,Debauchery,Rockers And War,0,['death metal'],"This track is an intense and heavy dose of death metal with thunderous drums, blazing guitar riffs, and agonizing growls."
A Better Place,Blockhead,Music By Cavelight,2004,"['laid back mellow' 'reflective' 'brooding' 'smooth' 'winter' 'druggy'
 'hypnotic' 'late night' 'restrained' 'underground rap' 'chillout' 'rap'
 'cerebral' 'ethereal' 'nocturnal' 'solitude' 'trippy' 'detached']","This underground rap track features a hypnotic and trippy beat which sends you into a state of solitude and reflection, with its laid back and mellow vibe, making it perfect for a late night chillout session. The brooding and druggy lyrics create an ethereal and smooth atmosphere, while the restrained and cerebral delivery gives a sense of detachment and introspection. The overall feel is definitely nocturnal and hypnotic, making it an ideal song for winter nights spent in solitude, lost in thought."
Playing My Game (Acoustic Version),Lene Marlin,Sitting Down Here,1999,['pop' 'norwegian' 'female vocalists' 'acoustic' 'pop rock'],"This Norwegian pop rock track boasts smooth acoustic melodies and a powerhouse female vocalist, blending the best of both worlds between pop and rock."
Shiva only is God,Punish Yourself,Pink Panther Party,2009,['pop rock' '00s'],Get ready to jam out to this catchy pop rock tune with 00s vibes that will transport you back to a time of colorful hair and skinny jeans.
Criminal,Eminem,The Marshall Mathers LP,2000,"['urgent' 'hostile' 'pop rap' 'politics society' 'hardcore rap'
 'revolutionary' 'intense' 'world view' 'menacing' 'confrontational'
 'hip hop' 'unsettling' 'tense anxious' 'rap' 'fiery' 'angst ridden'
 'cynical sarcastic' 'ominous' 'rebellious' 'paranoid' 'victory' 'harsh'
 'angry' 'midwest rap' 'volatile' 'sardonic']","Get ready to experience a confrontational and revolutionary rap track that will challenge your world view and shake you to your core. With intense and menacing vocals, this Midwest rap artist delivers an urgent message about the harsh realities of politics and society, using cynical and sarcastic lyrics to make a rebellious and hostile statement. The hardcore and sardonic tone of this pop rap hit is both ominous and unsettling, leaving listeners feeling tense and anxious as they navigate the volatile and fiery energy of the track. With an angry and paranoid vibe, this angst-ridden rap song is a victory for those who dare to speak out against the status quo and demand change."
I Got The Feelin' (Oh No_ No),Neil Diamond,Neil Diamond Classics - The Early Years,0,['rock'],This high-energy song boasts a powerful rock sound complete with electric guitar riffs and a driving drum beat.
Be Alright,The Foreign Exchange,Connected (Extended Edition),2004,['hip hop'],This hip hop track is a high-energy anthem that will get listeners moving and grooving.
Codeword For A Change,All Good Funk Alliance,Social Comment Remixes Vol. 1,0,['funk' 'pop rock'],This catchy pop rock tune is infused with funky basslines and groovy guitar riffs that'll make you want to dance.
Demonica,Dwarves,The Dwarves Are Young & Goodlooking,1997,['punk rock' 'pop punk'],"This high-energy song is a perfect example of punk rock meets pop punk, with fast-paced instrumentals and catchy, sing-along choruses."
Tender Moment,Lee Roy Parnell,Hits And Highways Ahead,1992,['contemporary country' 'country' 'new traditionalist' '80s'],This song captures the essence of contemporary country while paying homage to the 80s new traditionalist movement in country music.
Last Rendez-Vous,Jean Michel Jarre,Aero,2004,"['dramatic' 'avant garde' 'experimental electronic'
 'progressive electronic' 'hypnotic' 'sophisticated' 'electronic'
 'stylish' 'cerebral' 'clinical' 'new age' 'playful' 'detached']","This experimental electronic song is a sophisticated and cerebral journey that fuses avant garde and progressive electronic elements to create a hypnotic and dramatic soundscape, with a new age inspired twist that is both playful and detached, all with a clinical and stylish production quality."
Country Woman,Will Batts,Memphis Masters: Early American Blues Classics (1927-34),0,['blues'],Experience the raw power and emotion of the blues in this soulful and captivating song.
Grounds Around,Aes Dana,Memory Shell,2004,['chillout' 'pop rock' 'ambient'],"This song is a fusion of pop rock and chillout vibes, with ethereal touches of ambient sounds creating a dreamy and serene atmosphere."
Crime Of The Century,The Business,The Truth_ The Whole Truth And Nothing But The Truth,1997,['punk rock' 'punk new wave' 'pop rock'],"This high energy song is a mashup of punk rock, pop rock, and punk new wave, featuring catchy guitar riffs and driving drums."
